buyer_id,sector_id,buyer_name,sector_name,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
53,3,Finance Department - World Bank Tenders,buildings,,,,,,0.0,1.0,0.0,0.5,1.0,2.0,,,,,,,,,,,,100.0,,,100.0,,
98,6,Urban Affairs Department Externally Aided Project,water_sanitation,,,,,,0.0,4.0,0.0,0.25,1.0,4.0,,,,,,,,,,,,100.0,,,100.0,,
20,4,Assam State Disaster Management Authority- Externally Aided Project,schools,,,,,,0.0,2.0,1.0,0.6666666666666666,2.0,3.0,,,,,,,,,,,,97.14285714285714,,,97.14285714285714,,
14,7,Assam Power Generation Company Limited APGCL - ADB,electricity_power,,,,,0.2,1.0,5.0,0.0,0.4,2.0,5.0,,,,,,1.0,651759215.23,3.0,651759215.23,,85.71428571428571,100.0,,72.22222222222221,85.97883597883599,,
99,6,Urban Development Department,water_sanitation,-0.062302705706870444,-0.10719150181251635,-0.06165135250988706,3.0,0.25,6.0,24.0,22.0,0.021739130434782608,1.0,46.0,0.05,0.0,0.0,0.016666666666666666,40.0,1.0,404593515.08,3.0,404593515.08,76.92307692307693,100.0,94.11764705882352,82.75862068965517,76.08695652173914,85.97726023865894,84.46822968606195,88.31438353221579
77,10,Pollution Control Board,other,,,,,0.16666666666666666,1.0,6.0,2.0,0.25,2.0,8.0,,,,,,1.0,21501036.0,3.0,21501036.0,,80.48780487804879,94.44444444444444,,80.23255813953489,85.05493582067605,,
33,10,Department of Cultural Affairs,other,,-0.0007499964252043513,-0.0002499988084014504,2.0,0.6097560975609756,25.0,41.0,19.0,0.03333333333333333,2.0,60.0,0.017857142857142856,0.0,0.0,0.005952380952380952,56.0,1.0,61660269.41,3.0,61660269.41,,100.0,85.18518518518519,55.55555555555556,80.23255813953489,80.24332472006891,,
59,3,Guwahati Municipal Corporation,buildings,,,,,0.15384615384615385,2.0,13.0,23.0,0.0,0.0,36.0,0.0,0.09090909090909091,0.0,0.030303030303030304,11.0,,,,,,92.0,46.73913043478261,92.5,,77.07971014492755,,
50,4,Elementary Education Department,schools,,-0.9999929013333333,-0.9999929013333333,1.0,0.15384615384615385,2.0,13.0,9.0,0.045454545454545456,1.0,22.0,0.0,0.0,0.0,0.0,9.0,1.0,425.92,1.0,425.92,,94.11764705882352,91.42857142857143,42.42424242424242,73.21428571428571,75.29618665648077,,
37,3,Department of Housing and Urban Affairs,buildings,-0.0002265903327680891,-0.0006444444444444444,-0.00010520115705500973,7.0,0.16666666666666666,3.0,18.0,13.0,0.0,0.0,31.0,0.0,0.06451612903225806,0.0,0.02150537634408602,31.0,0.9218004103241528,613044585.0,6.0,565104750.0,80.0,96.0,46.73913043478261,87.5,60.71428571428571,74.19068322981367,75.15890269151139,77.82556935817804
61,9,Health and Family Welfare Department,vehicles,,,,,,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.3333333333333333,1.0,,,,,,,48.275862068965516,100.0,,74.13793103448276,,
92,2,Soil Conservation Department,bridges,,-0.019999999999999924,-0.019999999999999924,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,9747873.8,1.0,9747873.8,,,53.84615384615385,100.0,66.66666666666666,73.5042735042735,,
13,1,Assam Power Generation Company Limited,roads,,,,,,0.0,3.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.0,0.0,0.1111111111111111,3.0,,,,,,,46.875,100.0,,73.4375,,
